year,county_name,yield_bu_per_acre
2022,HARRISON,172.4
2022,HENRY,167.7
2022,HOWARD,217.2
2022,HUMBOLDT,195.5
2022,IDA,221.2
2022,IOWA,205.9
2022,JACKSON,219.2
2022,JASPER,203.6
2022,JEFFERSON,178.0
2022,JOHNSON,205.2
2022,JONES,218.2
2022,KEOKUK,170.4
2022,KOSSUTH,196.8
2022,LEE,178.2
2022,LINN,215.0
2022,LOUISA,196.3
2022,LUCAS,139.5
2022,LYON,190.8
2022,MADISON,166.9
2022,MAHASKA,186.3
2022,MARION,175.2
2022,MARSHALL,214.1
2022,MILLS,191.1
2022,MITCHELL,217.9
2022,MONONA,168.6
2022,MONROE,145.4
2022,MONTGOMERY,187.8
2022,MUSCATINE,213.1
2022,O BRIEN,201.1
2022,OSCEOLA,197.5
2022,OTHER COUNTIES,150.2
2022,PAGE,174.5
2022,PALO ALTO,195.8
2022,PLYMOUTH,171.8
2022,POCAHONTAS,198.2
2022,POLK,188.6
2022,POTTAWATTAMIE,195.0
2022,POWESHIEK,193.3
2022,RINGGOLD,151.8
2022,SAC,212.4
2022,SCOTT,216.2
2022,SHELBY,209.0
2022,SIOUX,196.6
2022,STORY,207.1
2022,TAMA,203.3
2022,TAYLOR,172.1
2022,UNION,149.4
2022,VAN BUREN,151.9
2022,WAPELLO,170.8
2022,WARREN,157.8
2022,WASHINGTON,185.7
2022,WAYNE,170.1
2022,WEBSTER,201.5
2022,WINNEBAGO,217.5
2022,WINNESHIEK,212.4
2022,WOODBURY,200.2
2022,WORTH,219.4
2022,WRIGHT,209.7
2023,ALLAMAKEE,183.9
2023,APPANOOSE,172.8
2023,AUDUBON,197.6
2023,BENTON,199.7
2023,BOONE,226.5
2023,BREMER,199.9
2023,BUCHANAN,190.7
2023,BUENA VISTA,212.0
2023,BUTLER,183.1
2023,CALHOUN,201.6
2023,CARROLL,196.7
2023,CEDAR,205.7
2023,CHEROKEE,211.7
2023,CHICKASAW,198.9
2023,CLAY,203.9
2023,CLAYTON,201.1
2023,CLINTON,198.0
2023,CRAWFORD,187.9
2023,DALLAS,210.9
2023,DAVIS,179.8
2023,DECATUR,205.3
2023,DELAWARE,198.9
2023,DES MOINES,207.9
2023,DICKINSON,201.3
2023,DUBUQUE,199.5
2023,FAYETTE,205.9
2023,FLOYD,191.8
2023,FRANKLIN,210.5
2023,FREMONT,211.0
2023,GREENE,208.0
2023,GRUNDY,212.9
2023,HAMILTON,215.5
2023,HANCOCK,204.9
2023,HARDIN,213.3
2023,HARRISON,190.3
2023,HENRY,195.1
2023,HOWARD,183.9
2023,HUMBOLDT,205.8
2023,IDA,198.0
2023,IOWA,213.5
2023,JACKSON,189.6
